Date,Open,High,Low,Close,Adj Close,Volume
2000-11-20,46.315121,48.057560,46.202705,47.439274,18.836760,13271098
2000-11-27,47.720314,51.205189,47.720314,50.418282,20.019638,29085553
2000-12-04,50.024830,53.397289,49.912415,50.530697,20.064266,27651140
2000-12-11,50.081036,51.992096,49.575169,49.743790,19.751820,28863387
2000-12-18,49.743790,50.474491,41.818508,43.279907,17.185202,38419688
2000-12-25,42.830246,45.809254,42.830246,45.078552,17.899387,16418911
2001-01-01,44.628891,49.912415,43.898193,49.069298,19.483999,26543862
2001-01-08,48.900677,51.373814,47.720314,49.912415,19.818769,25088212
2001-01-15,49.799999,51.148983,47.888939,49.799999,19.914648,21804853
2001-01-22,49.856205,49.856205,44.741306,46.652367,18.655937,27128413
2001-01-29,46.656864,49.462753,46.135258,46.764782,18.700895,30313921
2001-02-05,46.764782,48.923157,46.324116,47.205452,18.877123,23609433
2001-02-12,47.205452,48.815239,46.135258,47.232430,18.887896,22809831
2001-02-19,46.764782,47.268402,42.160252,44.174732,17.665152,24829240
2001-02-26,45.056068,46.270157,41.944412,44.525471,17.805412,22385066
2001-03-05,44.336613,44.876205,42.735817,42.933666,17.168858,21017483
2001-03-12,42.627899,44.516476,41.233948,42.564945,17.021414,28922319
2001-03-19,42.178238,44.066814,39.390339,42.223202,16.884750,27635240
2001-03-26,42.358101,45.415798,40.973145,44.336613,17.729881,29102344
2001-04-02,44.741306,45.056068,42.268169,44.471512,17.783831,36102944
2001-04-09,43.976883,46.899681,43.913929,46.836727,18.876482,27526936
2001-04-16,46.836727,48.473495,45.730560,47.718063,19.231682,29206533
2001-04-23,47.169479,50.901669,45.640629,50.092278,20.188564,32283960
2001-04-30,50.227177,51.252403,49.049065,50.182209,20.224808,27288312
2001-05-07,50.227177,51.243412,47.304379,47.924911,19.315046,53451443
2001-05-14,48.158733,49.714561,47.960884,48.707321,19.630377,27480457
2001-05-21,49.237923,49.327854,47.888939,48.536449,19.561523,24694471
2001-05-28,48.788261,49.687580,48.248665,49.228928,19.840599,18001880
2001-06-04,49.777515,50.173218,47.214443,48.113766,19.391159,24924311
2001-06-11,47.933903,49.058056,47.034580,47.169479,19.010588,22170684
2001-06-18,47.574173,47.879944,46.432034,47.259411,19.046835,23366694
2001-06-25,47.439274,49.201946,45.955395,48.113766,19.391159,28428615
2001-07-02,48.113766,49.462753,47.906921,47.906921,19.307798,16644191
2001-07-09,47.754040,51.126499,47.736053,49.687580,20.169254,28753080
2001-07-16,50.092278,51.621124,49.840466,50.478985,20.490492,30068627
2001-07-23,50.362076,50.685829,48.302624,50.478985,20.490492,23134074
2001-07-30,50.407040,50.856701,47.664104,48.275646,19.596119,32243485
2001-08-06,48.113766,48.608395,46.989613,48.500477,19.687378,20916405
2001-08-13,48.023834,48.590408,46.719818,47.214443,19.165354,17762699
2001-08-20,46.989613,48.221687,46.360088,46.863708,19.022978,21637171
2001-08-27,47.124512,47.169479,44.516476,44.966137,18.252710,24022411
2001-09-03,45.146004,45.946400,43.455276,44.111782,17.905914,21784726
2001-09-10,44.291645,45.865459,44.102787,45.595665,18.508257,8582236
2001-09-17,45.325867,48.923157,44.300640,45.550697,18.490005,64016727
2001-09-24,46.180225,49.201946,45.955395,48.662354,19.753098,43248322
2001-10-01,48.743294,50.353081,48.392559,48.977116,19.880861,43115779
